index,month,year,PDSI,aet,def,ppt,soil,tmax,vpd,pet,gtm,mortality.begin
1,1,1958,2.1,153,33,161,2,31.4,1.38,185,GTM_02,1989
2,2,1958,1.6,52,115,55,2,31.2,1.3,167,GTM_02,1989
3,3,1958,-1.4,3,161,3,1,31.2,1.34,165,GTM_02,1989
4,4,1958,-2.2,10,119,10,1,31.4,1.38,129,GTM_02,1989
5,5,1958,-2.5,0,119,0,1,29,1.32,119,GTM_02,1989
6,6,1958,-2.2,5,85,5,1,24.5,0.97,89,GTM_02,1989
7,7,1958,-2,0,95,0,1,25.5,1.12,95,GTM_02,1989
8,8,1958,-1.9,0,132,0,1,26.7,1.26,132,GTM_02,1989
9,9,1958,-0.6,35,127,36,1,29.3,1.54,162,GTM_02,1989
10,10,1958,-0.9,16,174,16,1,31.7,1.8,190,GTM_02,1989
11,11,1958,-1.4,33,153,34,1,33.6,1.82,186,GTM_02,1989
12,12,1958,1.3,105,89,110,1,32,1.52,194,GTM_02,1989
13,1,1959,1.8,83,97,87,1,31.8,1.43,179,GTM_02,1989
14,2,1959,1.5,53,103,56,1,31.7,1.4,156,GTM_02,1989
15,3,1959,1.3,34,118,36,1,31.3,1.37,152,GTM_02,1989
16,4,1959,-1.1,8,120,9,1,31,1.37,129,GTM_02,1989
17,5,1959,-0.9,10,97,10,1,28.9,1.25,107,GTM_02,1989
18,6,1959,-0.8,4,83,4,1,26.1,1.07,87,GTM_02,1989
19,7,1959,-0.7,0,91,0,1,25,1.04,92,GTM_02,1989
20,8,1959,-0.6,1,121,1,1,26.9,1.26,123,GTM_02,1989
21,9,1959,-1,1,145,1,1,29.3,1.56,146,GTM_02,1989
22,10,1959,-1.5,11,172,11,1,33.3,1.97,183,GTM_02,1989
23,11,1959,-2.2,27,168,28,1,32,1.67,195,GTM_02,1989
24,12,1959,-1.7,74,121,78,1,32.6,1.57,195,GTM_02,1989
25,1,1960,-2.7,20,183,21,1,33,1.56,203,GTM_02,1989
26,2,1960,-3,43,126,46,1,31.2,1.33,169,GTM_02,1989
27,3,1960,-3.2,20,138,21,1,31.6,1.41,158,GTM_02,1989
28,4,1960,-3,29,96,31,1,28.6,1.14,125,GTM_02,1989
29,5,1960,-3,3,102,3,1,26.5,1.1,105,GTM_02,1989
30,6,1960,-2,14,70,14,1,23.7,0.87,84,GTM_02,1989
31,7,1960,-1.8,0,97,0,1,24.1,0.98,97,GTM_02,1989
32,8,1960,-1.7,1,131,1,1,28.3,1.4,133,GTM_02,1989
33,9,1960,-2,1,167,1,1,29.6,1.6,168,GTM_02,1989
34,10,1960,-2.3,14,170,15,1,33.6,2.06,184,GTM_02,1989
35,11,1960,-1.5,61,112,64,1,30.4,1.47,173,GTM_02,1989
36,12,1960,2,112,78,118,1,32.9,1.61,190,GTM_02,1989
37,1,1961,1.6,49,134,51,1,31.8,1.43,182,GTM_02,1989
38,2,1961,3.2,120,31,126,1,30.5,1.26,151,GTM_02,1989
39,3,1961,2.6,25,128,26,1,30.2,1.2,153,GTM_02,1989
40,4,1961,2.2,30,91,31,1,29.9,1.24,121,GTM_02,1989
41,5,1961,1.9,7,102,8,1,28.5,1.25,110,GTM_02,1989
42,6,1961,2.4,15,73,16,1,23.9,0.91,88,GTM_02,1989
43,7,1961,2.2,0,96,0,1,24.3,1.01,96,GTM_02,1989
44,8,1961,2.1,3,123,3,1,25,1.14,125,GTM_02,1989
45,9,1961,1.3,1,170,1,1,30.6,1.75,171,GTM_02,1989
46,10,1961,-1.4,4,183,4,1,33.1,1.99,187,GTM_02,1989
47,11,1961,-1.7,36,149,38,1,31.2,1.6,185,GTM_02,1989
48,12,1961,-2.8,20,166,21,1,32.1,1.58,186,GTM_02,1989
49,1,1962,-3,41,140,43,1,32,1.51,181,GTM_02,1989
50,2,1962,-3.6,33,138,34,1,33,1.6,170,GTM_02,1989
51,3,1962,-3.7,22,140,23,1,31.4,1.43,161,GTM_02,1989
52,4,1962,-1.4,87,37,92,1,29.3,1.19,124,GTM_02,1989
