index,month,year,PDSI,aet,def,ppt,soil,tmax,vpd,pet,gtm,mortality.begin
1,1,1958,0.100000000000001,4,0,63,158,5.40000000000001,0.23,4,GTM_55_7_1,1986
2,2,1958,0,0,0,51,158,3.6,0.23,0,GTM_55_7_1,1986
3,3,1958,0.800000000000001,49,0,172,158,8.7,0.26,49,GTM_55_7_1,1986
4,4,1958,0.800000000000001,100,0,114,158,19.7,0.66,100,GTM_55_7_1,1986
5,5,1958,0.900000000000002,120,0,137,158,25.1,0.8,120,GTM_55_7_1,1986
6,6,1958,1.7,140,11,128,138,29.3,1,152,GTM_55_7_1,1986
7,7,1958,3.7,151,0,211,158,31.3,1.11,151,GTM_55_7_1,1986
8,8,1958,4.6,136,16,115,131,31.5,1.18,152,GTM_55_7_1,1986
9,9,1958,4.9,108,2,111,128,27.4,0.84,111,GTM_55_7_1,1986
10,10,1958,4.1,58,34,17,86,22.9,0.81,91,GTM_55_7_1,1986
11,11,1958,4.1,67,0,147,158,17.6,0.58,67,GTM_55_7_1,1986
12,12,1958,3.1,17,2,15,155,7.2,0.28,19,GTM_55_7_1,1986
13,1,1959,3.5,3,0,105,158,5.7,0.22,3,GTM_55_7_1,1986
14,2,1959,3,32,0,73,158,8.8,0.26,32,GTM_55_7_1,1986
15,3,1959,1.9,83,0,83,158,15.2,0.51,83,GTM_55_7_1,1986
16,4,1959,1,95,21,62,122,20.9,0.75,116,GTM_55_7_1,1986
17,5,1959,0.900000000000002,129,2,133,120,26.5,0.85,131,GTM_55_7_1,1986
18,6,1959,0.600000000000001,114,36,77,79,29.4,0.98,150,GTM_55_7_1,1986
19,7,1959,-1.5,111,45,86,49,31.4,1.17,157,GTM_55_7_1,1986
20,8,1959,-1.6,113,44,105,36,32.6,1.3,157,GTM_55_7_1,1986
21,9,1959,-1.5,110,17,111,32,29.3,1.07,127,GTM_55_7_1,1986
22,10,1959,-1.2,80,7,83,30,22.1,0.68,87,GTM_55_7_1,1986
23,11,1959,-1.7,58,0,62,31,12.3,0.41,58,GTM_55_7_1,1986
24,12,1959,-1.9,43,0,122,103,10.2,0.34,43,GTM_55_7_1,1986
25,1,1960,-2.1,21,0,66,138,6.40000000000001,0.19,21,GTM_55_7_1,1986
26,2,1960,-2.2,8,0,50,150,5.40000000000001,0.21,8,GTM_55_7_1,1986
27,3,1960,-2,11,0,71,158,6,0.24,11,GTM_55_7_1,1986
28,4,1960,-2.7,122,1,54,155,22.3,0.84,124,GTM_55_7_1,1986
29,5,1960,-2.4,135,0,149,158,24.3,0.82,135,GTM_55_7_1,1986
30,6,1960,-2.3,124,27,81,111,29.6,1.02,151,GTM_55_7_1,1986
31,7,1960,-2.6,114,46,71,63,31.3,1.15,161,GTM_55_7_1,1986
32,8,1960,-2.7,110,48,94,42,32.6,1.29,158,GTM_55_7_1,1986
33,9,1960,-3.2,63,59,56,32,30.8,1.29,122,GTM_55_7_1,1986
34,10,1960,-2.9,72,11,73,30,22.6,0.71,83,GTM_55_7_1,1986
35,11,1960,-2.9,65,0,92,53,15.4,0.51,65,GTM_55_7_1,1986
36,12,1960,-2.9,12,0,91,83,6,0.26,12,GTM_55_7_1,1986
37,1,1961,-3.2,2,0,26,86,6,0.27,2,GTM_55_7_1,1986
38,2,1961,-3.1,40,0,93,158,10.6,0.29,40,GTM_55_7_1,1986
39,3,1961,-2.2,70,0,180,158,14.6,0.41,70,GTM_55_7_1,1986
40,4,1961,-2.1,97,5,93,149,17.3,0.57,102,GTM_55_7_1,1986
41,5,1961,1.9,116,0,233,158,22.6,0.66,116,GTM_55_7_1,1986
42,6,1961,1.9,123,27,82,112,28.8,1.02,150,GTM_55_7_1,1986
43,7,1961,2,138,31,112,80,31.7,1.25,169,GTM_55_7_1,1986
44,8,1961,1.4,92,54,63,48,30.8,1.15,146,GTM_55_7_1,1986
45,9,1961,-1.3,55,79,45,36,29.7,1.21,134,GTM_55_7_1,1986
46,10,1961,-2.2,26,82,20,28,24.1,0.96,107,GTM_55_7_1,1986
47,11,1961,-1.9,55,0,121,88,14,0.4,55,GTM_55_7_1,1986
48,12,1961,-1.9,32,0,112,158,7.2,0.25,32,GTM_55_7_1,1986
49,1,1962,-0.599999999999998,2,0,129,158,4.40000000000001,0.2,2,GTM_55_7_1,1986
50,2,1962,1.8,36,0,139,158,10.4,0.25,36,GTM_55_7_1,1986
51,3,1962,1.5,64,0,116,158,10.9,0.35,64,GTM_55_7_1,1986
52,4,1962,1,92,11,77,139,18.6,0.63,102,GTM_55_7_1,1986
53,5,1962,-1.2,116,30,78,97,29.4,1.13,146,GTM_55_7_1,1986
54,6,1962,-1.4,112,38,84,65,29.7,1.07,150,GTM_55_7_1,1986
55,7,1962,-2,87,81,69,43,33,1.33,168,GTM_55_7_1,1986
56,8,1962,-2.1,107,54,101,33,32.9,1.38,160,GTM_55_7_1,1986
57,9,1962,-1.3,103,0,141,64,26,0.8,103,GTM_55_7_1,1986
58,10,1962,-1.1,67,19,60,54,23.4,0.77,86,GTM_55_7_1,1986
59,11,1962,-1.9,32,23,24,45,14.1,0.45,55,GTM_55_7_1,1986
60,12,1962,-2.4,26,0,68,76,7.8,0.29,26,GTM_55_7_1,1986
61,1,1963,-2.9,0,0,20,76,3.1,0.19,0,GTM_55_7_1,1986
62,2,1963,-3.7,2,0,13,76,5.8,0.27,2,GTM_55_7_1,1986
63,3,1963,-3.6,83,0,169,158,17.5,0.57,83,GTM_55_7_1,1986
64,4,1963,-4,91,24,52,116,22,0.72,115,GTM_55_7_1,1986
65,5,1963,-3.5,124,0,139,124,24.9,0.76,124,GTM_55_7_1,1986
66,6,1963,-3.1,120,30,89,88,30.6,1.1,151,GTM_55_7_1,1986
67,7,1963,-2.7,132,32,114,64,31.6,1.14,164,GTM_55_7_1,1986
68,8,1963,-2.7,94,53,76,43,31.7,1.17,146,GTM_55_7_1,1986
69,9,1963,-3.6,32,88,23,33,28.9,1.11,120,GTM_55_7_1,1986
70,10,1963,-4.5,9,97,3,27,28.5,1.29,105,GTM_55_7_1,1986
71,11,1963,-4.3,66,0,106,61,16.5,0.55,66,GTM_55_7_1,1986
72,12,1963,-4.5,0,0,35,61,3.7,0.25,0,GTM_55_7_1,1986
73,1,1964,-4.9,25,0,31,79,8.5,0.3,25,GTM_55_7_1,1986
74,2,1964,-4.9,19,0,75,117,7.7,0.3,19,GTM_55_7_1,1986
75,3,1964,-2.8,76,0,280,158,14.3,0.47,76,GTM_55_7_1,1986
76,4,1964,-2.6,108,3,108,152,21.4,0.7,111,GTM_55_7_1,1986
77,5,1964,-3.2,106,31,58,101,26.3,0.92,137,GTM_55_7_1,1986
78,6,1964,-3.7,99,62,54,53,30.6,1.14,162,GTM_55_7_1,1986
79,7,1964,-3.8,106,60,95,38,32.9,1.36,166,GTM_55_7_1,1986
80,8,1964,-3.1,135,21,136,32,31.6,1.23,156,GTM_55_7_1,1986
81,9,1964,-2.5,117,0,131,40,28.1,1.06,117,GTM_55_7_1,1986
82,10,1964,-3.2,11,83,2,31,22.2,0.86,93,GTM_55_7_1,1986
83,11,1964,-3.3,60,0,81,48,17.5,0.55,60,GTM_55_7_1,1986
84,12,1964,-3.7,38,0,70,76,8.2,0.27,38,GTM_55_7_1,1986
